driver_id,constructor_id,race_id,race_name,season,fp1_best_time,fp2_best_time,fp3_best_time,fp1_avg_time,fp2_avg_time,fp3_avg_time
max_verstappen,red_bull,2,Saudi Arabian Grand Prix,2024,0 days 00:01:29.659000,0 days 00:01:29.158000,0 days 00:01:28.412000,0 days 00:01:31.410000,0 days 00:01:29.684400,0 days 00:01:28.875000
perez,red_bull,2,Saudi Arabian Grand Prix,2024,0 days 00:01:29.868000,0 days 00:01:29.300000,0 days 00:01:28.906000,0 days 00:01:30.957166666,0 days 00:01:29.871333333,0 days 00:01:29.404000
leclerc,ferrari,2,Saudi Arabian Grand Prix,2024,0 days 00:01:30.030000,0 days 00:01:29.180000,0 days 00:01:28.608000,0 days 00:01:31.985666666,0 days 00:01:30.211250,0 days 00:01:30.542600
piastri,mclaren,2,Saudi Arabian Grand Prix,2024,0 days 00:01:30.977000,0 days 00:01:29.594000,0 days 00:01:29.213000,0 days 00:01:32.071600,0 days 00:01:31.365833333,0 days 00:01:29.900666666
alonso,aston_martin,2,Saudi Arabian Grand Prix,2024,0 days 00:01:29.845000,0 days 00:01:28.827000,0 days 00:01:29.038000,0 days 00:01:31.666500,0 days 00:01:29.742000,0 days 00:01:30.288250
russell,mercedes,2,Saudi Arabian Grand Prix,2024,0 days 00:01:29.939000,0 days 00:01:29.057000,0 days 00:01:28.964000,0 days 00:01:31.186833333,0 days 00:01:29.692000,0 days 00:01:30.673166666
norris,mclaren,2,Saudi Arabian Grand Prix,2024,0 days 00:01:30.231000,0 days 00:01:29.758000,0 days 00:01:28.971000,0 days 00:01:32.022428571,0 days 00:01:30.348750,0 days 00:01:29.585000
hamilton,mercedes,2,Saudi Arabian Grand Prix,2024,0 days 00:01:30.236000,0 days 00:01:29.504000,0 days 00:01:29.268000,0 days 00:01:31.098000,0 days 00:01:30.601750,0 days 00:01:31.474142857
hulkenberg,haas,2,Saudi Arabian Grand Prix,2024,0 days 00:01:31.411000,0 days 00:01:30.077000,0 days 00:01:29.675000,0 days 00:01:32.602500,0 days 00:01:31.401750,0 days 00:01:29.967000
albon,williams,2,Saudi Arabian Grand Prix,2024,0 days 00:01:30.747000,0 days 00:01:29.789000,0 days 00:01:29.808000,0 days 00:01:31.911000,0 days 00:01:30.602250,0 days 00:01:30.105250
kevin_magnussen,haas,2,Saudi Arabian Grand Prix,2024,0 days 00:01:31.577000,0 days 00:01:29.985000,0 days 00:01:29.485000,0 days 00:01:32.733200,0 days 00:01:30.933500,0 days 00:01:30.335666666
ocon,alpine,2,Saudi Arabian Grand Prix,2024,0 days 00:01:30.945000,0 days 00:01:29.901000,0 days 00:01:29.575000,0 days 00:01:31.831285714,0 days 00:01:30.595166666,0 days 00:01:30.334000
sargeant,williams,2,Saudi Arabian Grand Prix,2024,0 days 00:01:30.966000,0 days 00:01:29.934000,0,0 days 00:01:32.108000,0 days 00:01:30.462000,0
tsunoda,rb,2,Saudi Arabian Grand Prix,2024,0 days 00:01:31.036000,0 days 00:01:29.666000,0 days 00:01:29.572000,0 days 00:01:32.002875,0 days 00:01:30.593250,0 days 00:01:30.681400
ricciardo,rb,2,Saudi Arabian Grand Prix,2024,0 days 00:01:30.917000,0 days 00:01:30.088000,0 days 00:01:29.740000,0 days 00:01:32.077000,0 days 00:01:30.483500,0 days 00:01:30.719000
bottas,sauber,2,Saudi Arabian Grand Prix,2024,0 days 00:01:30.783000,0 days 00:01:30.153000,0 days 00:01:30.083000,0 days 00:01:32.454142857,0 days 00:01:31.090750,0 days 00:01:30.824750
zhou,sauber,2,Saudi Arabian Grand Prix,2024,0 days 00:01:31.131000,0 days 00:01:29.777000,0 days 00:01:30.739000,0 days 00:01:32.361285714,0 days 00:01:30.770200,0 days 00:01:31.023000
stroll,aston_martin,2,Saudi Arabian Grand Prix,2024,0 days 00:01:30.580000,0 days 00:01:29.336000,0 days 00:01:29.127000,0 days 00:01:31.399600,0 days 00:01:30.193200,0 days 00:01:30.261000
gasly,alpine,2,Saudi Arabian Grand Prix,2024,0 days 00:01:31.046000,0 days 00:01:29.528000,0 days 00:01:29.546000,0 days 00:01:31.801833333,0 days 00:01:30.361000,0 days 00:01:30.188666666
sainz,ferrari,3,Australian Grand Prix,2024,0 days 00:01:18.686000,0 days 00:01:17.707000,0 days 00:01:16.791000,0 days 00:01:19.976428571,0 days 00:01:18.515400,0 days 00:01:17.301800
leclerc,ferrari,3,Australian Grand Prix,2024,0 days 00:01:18.599000,0 days 00:01:17.277000,0 days 00:01:16.714000,0 days 00:01:20.241142857,0 days 00:01:18.085400,0 days 00:01:17.685833333
norris,mclaren,3,Australian Grand Prix,2024,0 days 00:01:18.564000,0 days 00:01:18.155000,0 days 00:01:17.490000,0 days 00:01:20.187750,0 days 00:01:18.444000,0 days 00:01:18.492166666
piastri,mclaren,3,Australian Grand Prix,2024,0 days 00:01:18.918000,0 days 00:01:18.077000,0 days 00:01:17.087000,0 days 00:01:19.797857142,0 days 00:01:18.625000,0 days 00:01:17.663200
perez,red_bull,3,Australian Grand Prix,2024,0 days 00:01:18.642000,0 days 00:01:18.090000,0 days 00:01:17.014000,0 days 00:01:19.452000,0 days 00:01:18.885166666,0 days 00:01:17.717200
stroll,aston_martin,3,Australian Grand Prix,2024,0 days 00:01:18.667000,0 days 00:01:17.822000,0 days 00:01:17.341000,0 days 00:01:19.667500,0 days 00:01:18.854800,0 days 00:01:17.968000
tsunoda,rb,3,Australian Grand Prix,2024,0 days 00:01:18.621000,0 days 00:01:18.188000,0 days 00:01:17.673000,0 days 00:01:19.502000,0 days 00:01:19.191200,0 days 00:01:18.157200
