driver_id,constructor_id,race_id,race_name,season,qual_position,qual_time,sect1,sect2,sect3,speed1,speed2,speedfl
gasly,alphatauri,7,French Grand Prix,2021,6.0,0 days 00:01:30.868000,0 days 00:00:22.487000,0 days 00:00:27.790000,0 days 00:00:40.591000,118.0,281.0,302.0
leclerc,ferrari,7,French Grand Prix,2021,7.0,0 days 00:01:30.987000,0 days 00:00:22.516000,0 days 00:00:27.888000,0 days 00:00:40.583000,121.0,279.0,296.0
norris,mclaren,7,French Grand Prix,2021,8.0,0 days 00:01:31.252000,0 days 00:00:22.615000,0 days 00:00:27.743000,0 days 00:00:40.894000,116.0,281.0,303.0
alonso,alpine,7,French Grand Prix,2021,9.0,0 days 00:01:31.340000,0 days 00:00:22.578000,0 days 00:00:27.772000,0 days 00:00:40.990000,126.0,278.0,299.0
ricciardo,mclaren,7,French Grand Prix,2021,10.0,0 days 00:01:31.382000,0 days 00:00:22.798000,0 days 00:00:27.806000,0 days 00:00:40.778000,120.0,280.0,303.0
ocon,alpine,7,French Grand Prix,2021,11.0,0 days 00:01:31.736000,0 days 00:00:22.900000,0 days 00:00:27.750000,0 days 00:00:41.086000,119.0,279.0,299.0
russell,williams,7,French Grand Prix,2021,14.0,0 days 00:01:32.065000,0 days 00:00:23.020000,0 days 00:00:27.892000,0 days 00:00:41.153000,116.0,283.0,303.0
stroll,aston_martin,7,French Grand Prix,2021,19.0,,0 days 00:00:23.443000,0 days 00:00:36.162000,0 days 00:01:12.979000,120.0,251.0,302.0
tsunoda,alphatauri,7,French Grand Prix,2021,20.0,,,,,,,
max_verstappen,red_bull,8,Styrian Grand Prix,2021,1.0,0 days 00:01:03.841000,0 days 00:00:16.145000,0 days 00:00:28.309000,0 days 00:00:19.387000,316.0,251.0,288.0
bottas,mercedes,8,Styrian Grand Prix,2021,2.0,0 days 00:01:04.035000,0 days 00:00:16.261000,0 days 00:00:28.339000,0 days 00:00:19.435000,315.0,248.0,286.0
hamilton,mercedes,8,Styrian Grand Prix,2021,3.0,0 days 00:01:04.067000,0 days 00:00:16.267000,0 days 00:00:28.441000,0 days 00:00:19.359000,311.0,250.0,288.0
norris,mclaren,8,Styrian Grand Prix,2021,4.0,0 days 00:01:04.120000,0 days 00:00:16.225000,0 days 00:00:28.400000,0 days 00:00:19.495000,320.0,247.0,290.0
perez,red_bull,8,Styrian Grand Prix,2021,5.0,0 days 00:01:04.168000,0 days 00:00:16.342000,0 days 00:00:28.369000,0 days 00:00:19.457000,318.0,248.0,287.0
gasly,alphatauri,8,Styrian Grand Prix,2021,6.0,0 days 00:01:04.236000,0 days 00:00:16.221000,0 days 00:00:28.489000,0 days 00:00:19.526000,319.0,250.0,286.0
leclerc,ferrari,8,Styrian Grand Prix,2021,7.0,0 days 00:01:04.472000,0 days 00:00:16.434000,0 days 00:00:28.461000,0 days 00:00:19.577000,311.0,249.0,283.0
tsunoda,alphatauri,8,Styrian Grand Prix,2021,8.0,0 days 00:01:04.514000,0 days 00:00:16.373000,0 days 00:00:28.653000,0 days 00:00:19.488000,313.0,248.0,284.0
alonso,alpine,8,Styrian Grand Prix,2021,9.0,0 days 00:01:04.574000,0 days 00:00:16.428000,0 days 00:00:28.477000,0 days 00:00:19.669000,319.0,246.0,286.0
stroll,aston_martin,8,Styrian Grand Prix,2021,10.0,0 days 00:01:04.708000,0 days 00:00:16.302000,0 days 00:00:28.714000,0 days 00:00:19.647000,316.0,246.0,287.0
russell,williams,8,Styrian Grand Prix,2021,11.0,0 days 00:01:04.671000,0 days 00:00:16.308000,0 days 00:00:28.849000,0 days 00:00:19.514000,319.0,249.0,289.0
sainz,ferrari,8,Styrian Grand Prix,2021,12.0,0 days 00:01:04.800000,0 days 00:00:16.536000,0 days 00:00:28.725000,0 days 00:00:19.539000,313.0,246.0,281.0
ricciardo,mclaren,8,Styrian Grand Prix,2021,13.0,0 days 00:01:04.808000,0 days 00:00:16.260000,0 days 00:00:28.761000,0 days 00:00:19.787000,320.0,247.0,286.0
ocon,alpine,8,Styrian Grand Prix,2021,17.0,0 days 00:01:05.217000,0 days 00:00:16.485000,0 days 00:00:28.887000,0 days 00:00:19.845000,315.0,246.0,284.0
max_verstappen,red_bull,9,Austrian Grand Prix,2021,1.0,0 days 00:01:03.720000,0 days 00:00:16.203000,0 days 00:00:28.279000,0 days 00:00:19.238000,312.0,252.0,289.0
norris,mclaren,9,Austrian Grand Prix,2021,2.0,0 days 00:01:03.768000,0 days 00:00:16.111000,0 days 00:00:28.382000,0 days 00:00:19.275000,316.0,251.0,288.0
perez,red_bull,9,Austrian Grand Prix,2021,3.0,0 days 00:01:03.990000,0 days 00:00:16.144000,0 days 00:00:28.442000,0 days 00:00:19.404000,317.0,251.0,286.0
hamilton,mercedes,9,Austrian Grand Prix,2021,4.0,0 days 00:01:04.014000,0 days 00:00:16.319000,0 days 00:00:28.320000,0 days 00:00:19.375000,310.0,248.0,286.0
bottas,mercedes,9,Austrian Grand Prix,2021,5.0,0 days 00:01:04.049000,0 days 00:00:16.376000,0 days 00:00:28.243000,0 days 00:00:19.430000,309.0,250.0,286.0
gasly,alphatauri,9,Austrian Grand Prix,2021,6.0,0 days 00:01:04.107000,0 days 00:00:16.191000,0 days 00:00:28.543000,0 days 00:00:19.373000,317.0,249.0,287.0
tsunoda,alphatauri,9,Austrian Grand Prix,2021,7.0,0 days 00:01:04.273000,0 days 00:00:16.294000,0 days 00:00:28.552000,0 days 00:00:19.427000,317.0,250.0,287.0
russell,williams,9,Austrian Grand Prix,2021,9.0,0 days 00:01:04.591000,0 days 00:00:16.361000,0 days 00:00:28.759000,0 days 00:00:19.433000,317.0,247.0,290.0
stroll,aston_martin,9,Austrian Grand Prix,2021,10.0,0 days 00:01:04.618000,0 days 00:00:16.424000,0 days 00:00:28.691000,0 days 00:00:19.432000,311.0,247.0,286.0
sainz,ferrari,9,Austrian Grand Prix,2021,11.0,0 days 00:01:04.559000,0 days 00:00:16.506000,0 days 00:00:28.588000,0 days 00:00:19.465000,313.0,248.0,283.0
leclerc,ferrari,9,Austrian Grand Prix,2021,12.0,0 days 00:01:04.600000,0 days 00:00:16.459000,0 days 00:00:28.665000,0 days 00:00:19.476000,312.0,249.0,282.0
ricciardo,mclaren,9,Austrian Grand Prix,2021,13.0,0 days 00:01:04.719000,0 days 00:00:16.393000,0 days 00:00:28.833000,0 days 00:00:19.493000,313.0,248.0,287.0
alonso,alpine,9,Austrian Grand Prix,2021,14.0,0 days 00:01:04.856000,0 days 00:00:16.296000,0 days 00:00:28.662000,0 days 00:00:19.514000,317.0,248.0,288.0
ocon,alpine,9,Austrian Grand Prix,2021,17.0,0 days 00:01:05.051000,0 days 00:00:16.613000,0 days 00:00:28.796000,0 days 00:00:19.642000,310.0,248.0,288.0
hamilton,mercedes,10,British Grand Prix,2021,1.0,0 days 00:01:26.134000,0 days 00:00:27.295000,0 days 00:00:34.977000,0 days 00:00:23.751000,314.0,272.0,254.0
max_verstappen,red_bull,10,British Grand Prix,2021,2.0,0 days 00:01:26.209000,0 days 00:00:27.462000,0 days 00:00:34.968000,0 days 00:00:23.779000,313.0,274.0,250.0
bottas,mercedes,10,British Grand Prix,2021,3.0,0 days 00:01:26.328000,0 days 00:00:27.438000,0 days 00:00:35.121000,0 days 00:00:23.769000,313.0,271.0,253.0
leclerc,ferrari,10,British Grand Prix,2021,4.0,0 days 00:01:26.828000,0 days 00:00:27.582000,0 days 00:00:35.304000,0 days 00:00:23.942000,316.0,270.0,252.0
perez,red_bull,10,British Grand Prix,2021,5.0,0 days 00:01:26.844000,0 days 00:00:27.640000,0 days 00:00:35.382000,0 days 00:00:23.822000,315.0,269.0,252.0
norris,mclaren,10,British Grand Prix,2021,6.0,0 days 00:01:26.897000,0 days 00:00:27.677000,0 days 00:00:35.305000,0 days 00:00:23.915000,314.0,273.0,253.0
ricciardo,mclaren,10,British Grand Prix,2021,7.0,0 days 00:01:26.899000,0 days 00:00:27.682000,0 days 00:00:35.354000,0 days 00:00:23.863000,315.0,271.0,253.0
russell,williams,10,British Grand Prix,2021,8.0,0 days 00:01:26.971000,0 days 00:00:27.723000,0 days 00:00:35.302000,0 days 00:00:23.946000,313.0,272.0,253.0
sainz,ferrari,10,British Grand Prix,2021,9.0,0 days 00:01:27.007000,0 days 00:00:27.503000,0 days 00:00:35.359000,0 days 00:00:23.986000,317.0,272.0,251.0
alonso,alpine,10,British Grand Prix,2021,11.0,0 days 00:01:27.245000,0 days 00:00:27.655000,0 days 00:00:35.562000,0 days 00:00:24.028000,317.0,268.0,250.0
gasly,alphatauri,10,British Grand Prix,2021,12.0,0 days 00:01:27.273000,0 days 00:00:27.651000,0 days 00:00:35.523000,0 days 00:00:24.099000,316.0,270.0,251.0
ocon,alpine,10,British Grand Prix,2021,13.0,0 days 00:01:27.340000,0 days 00:00:27.699000,0 days 00:00:35.564000,0 days 00:00:24.077000,318.0,269.0,251.0
stroll,aston_martin,10,British Grand Prix,2021,15.0,0 days 00:01:27.665000,0 days 00:00:27.633000,0 days 00:00:35.720000,0 days 00:00:24.312000,315.0,268.0,253.0
tsunoda,alphatauri,10,British Grand Prix,2021,16.0,0 days 00:01:28.043000,0 days 00:00:28.030000,0 days 00:00:35.797000,0 days 00:00:24.216000,314.0,268.0,251.0
hamilton,mercedes,11,Hungarian Grand Prix,2021,1.0,0 days 00:01:15.419000,0 days 00:00:27.355000,0 days 00:00:26.702000,0 days 00:00:21.362000,284.0,256.0,259.0
bottas,mercedes,11,Hungarian Grand Prix,2021,2.0,0 days 00:01:15.734000,0 days 00:00:27.369000,0 days 00:00:26.882000,0 days 00:00:21.483000,282.0,255.0,261.0
max_verstappen,red_bull,11,Hungarian Grand Prix,2021,3.0,0 days 00:01:15.840000,0 days 00:00:27.430000,0 days 00:00:26.825000,0 days 00:00:21.395000,280.0,253.0,260.0
perez,red_bull,11,Hungarian Grand Prix,2021,4.0,0 days 00:01:16.421000,0 days 00:00:27.604000,0 days 00:00:27.361000,0 days 00:00:21.456000,281.0,251.0,259.0
gasly,alphatauri,11,Hungarian Grand Prix,2021,5.0,0 days 00:01:16.483000,0 days 00:00:27.681000,0 days 00:00:27.070000,0 days 00:00:21.643000,278.0,252.0,261.0
norris,mclaren,11,Hungarian Grand Prix,2021,6.0,0 days 00:01:16.489000,0 days 00:00:27.667000,0 days 00:00:26.994000,0 days 00:00:21.724000,279.0,254.0,261.0
leclerc,ferrari,11,Hungarian Grand Prix,2021,7.0,0 days 00:01:16.496000,0 days 00:00:27.786000,0 days 00:00:27.055000,0 days 00:00:21.655000,282.0,253.0,256.0
ocon,alpine,11,Hungarian Grand Prix,2021,8.0,0 days 00:01:16.653000,0 days 00:00:27.869000,0 days 00:00:27.162000,0 days 00:00:21.622000,278.0,251.0,257.0
alonso,alpine,11,Hungarian Grand Prix,2021,9.0,0 days 00:01:16.715000,0 days 00:00:27.746000,0 days 00:00:27.184000,0 days 00:00:21.611000,276.0,252.0,257.0
