race_id,race_name,season,rain_fp1,avg_airtemp_fp1,avg_tracktemp_fp1,high_windspeed_fp1,avg_windspeed_fp1,rain_fp2,avg_airtemp_fp2,avg_tracktemp_fp2,high_windspeed_fp2,avg_windspeed_fp2,rain_fp3,avg_airtemp_fp3,avg_tracktemp_fp3,high_windspeed_fp3,avg_windspeed_fp3,rain_quali,avg_airtemp_quali,avg_tracktemp_quali,high_windspeed_quali,avg_windspeed_quali,rain_race,avg_airtemp_race,avg_tracktemp_race,high_windspeed_race,avg_windspeed_race,rain_sprint,avg_airtemp_sprint,avg_tracktemp_sprint,high_windspeed_sprint,avg_windspeed_sprint
21,Saudi Arabian Grand Prix,2021,0,28.4,34.825,0.5,0.375,0,28.5375,30.4,0.5,0.275,0,29.177777777777774,34.56666666666667,0.7,0.4111111111111111,0,28.1375,30.8125,0.9,0.575,0,28.830000000000002,31.78,0.4,0.255,0,0,0,0,0
22,Abu Dhabi Grand Prix,2021,0,26.987499999999997,39.412499999999994,0.7,0.475,0,24.962500000000002,30.075,0.7,0.48750000000000004,0,26.81111111111111,38.53333333333333,0.6,0.46666666666666656,0,25.133333333333333,29.244444444444444,0.5,0.3222222222222222,0,24.56875,28.6625,0.7,0.42500000000000004,0,0,0,0,0
1,Bahrain Grand Prix,2022,0,19.87777777777778,34.800000000000004,1.2,0.9111111111111112,0,17.433333333333334,23.27777777777778,0.8,0.5333333333333333,0,22.31111111111111,37.03333333333333,0.8,0.6222222222222222,0,19.4625,25.512500000000003,0.6,0.45,0,23.658823529411762,28.67058823529412,0.6,0.2764705882352941,0,0,0,0,0
2,Saudi Arabian Grand Prix,2022,0,22.83333333333333,28.11111111111111,6.9,4.944444444444445,0,21.830000000000002,24.279999999999998,4.5,3.15,0,24.266666666666666,29.377777777777776,6.4,5.655555555555555,0,23.48,25.380000000000003,4.3,2.9600000000000004,0,25.40625,28.39375,3,2.1625,0,0,0,0,0
3,Australian Grand Prix,2022,0,21.112499999999997,37.962500000000006,1,0.6625,0,20.775,29.525,1.3,0.6875,0,24.6125,32.375,2,1.05,0,23.233333333333334,29.108333333333334,1.8,1.1583333333333332,0,26.69375,37.48125,3,1.88125,0,0,0,0,0
4,Emilia Romagna Grand Prix,2022,1,11.555555555555554,14.722222222222221,3.7,2.711111111111111,0,19.211111111111112,30.84444444444445,3.5,2.166666666666666,0,0,0,0,0,1,12.424999999999999,14.35,4.5,2.5166666666666666,0,12.84375,17.450000000000003,2.5,1.6375,0,20.419999999999998,29.3,3,1.54
5,Miami Grand Prix,2022,0,33.73333333333333,50.25555555555556,3.7,1.488888888888889,0,32.96666666666667,41.68888888888889,3.9,1.6444444444444444,0,33.45555555555555,51.07777777777778,3.2,1.4555555555555555,0,33.2625,51.275,3,1.7375,1,30.635294117647057,42.71176470588235,5,2.388235294117647,0,0,0,0,0
6,Spanish Grand Prix,2022,0,29.188888888888894,45.56666666666667,2,1.3444444444444443,0,30.733333333333334,43.71111111111111,4,3.1,0,31.488888888888887,44.111111111111114,4.5,2.9000000000000004,0,34.7,47.275,3.7,2.8875,0,36.59411764705882,48.97647058823529,4.8,3.5235294117647062,0,0,0,0,0
7,Monaco Grand Prix,2022,0,30.61111111111111,54.3,1.2,0.7666666666666666,0,30.644444444444446,50.28888888888889,2.2,1.0333333333333334,0,27.0875,50.925,1.2,0.825,0,26.711111111111112,48.599999999999994,1.3,0.7999999999999999,1,22.3,31.384,1.6,0.96,0,0,0,0,0
8,Azerbaijan Grand Prix,2022,0,25.91111111111111,42.58888888888889,2.7,1.7111111111111112,0,23.955555555555556,33.544444444444444,2,1.4444444444444444,0,27.03,46.260000000000005,1.8,1.31,0,24.866666666666664,35.35,1.5,0.85,0,25.417647058823526,47.1,2.9,1.5647058823529412,0,0,0,0,0
9,Canadian Grand Prix,2022,0,25.7,42.66666666666666,2.7,2.0777777777777775,0,26.099999999999998,38.58888888888888,3.2,1.9444444444444449,1,11.477777777777778,16.62222222222222,2.4,1.8222222222222224,1,13.422222222222224,18.122222222222224,3,1.7999999999999998,0,20.74705882352941,41.12941176470588,5,3.7,0,0,0,0,0
10,British Grand Prix,2022,1,16.299999999999997,24.900000000000002,3.5,2.25,0,18.7,30.400000000000002,4.6,3.866666666666667,0,17.322222222222223,25.244444444444444,6.4,4.977777777777778,1,15.0375,21.075000000000003,4,2.95,1,18.26666666666667,30.03809523809524,2.2,1.342857142857143,0,0,0,0,0
11,Austrian Grand Prix,2022,0,18.266666666666666,38.355555555555554,2.5,2.011111111111111,0,19.744444444444447,34.300000000000004,3.9,1.7222222222222223,0,0,0,0,0,0,19.08,36.050000000000004,2.2,1.3199999999999998,0,20.28125,30.73125,2.7,1.3625,0,21.02,34.88,3,1.67
12,French Grand Prix,2022,0,29.61111111111111,57.13333333333334,3,2.111111111111111,0,30.38888888888889,53.34444444444445,2.7,1.7444444444444445,0,28.944444444444443,52.544444444444444,3.7,2.1333333333333333,0,30.575,54.9125,3.4,1.8875,0,30.153846153846153,54.51538461538461,3.5,2.0153846153846158,0,0,0,0,0
13,Hungarian Grand Prix,2022,0,32.02222222222222,51.15555555555556,3,1.5333333333333332,0,33.24444444444445,47.63333333333334,2.9,1.9333333333333336,1,19.644444444444442,24.266666666666666,2.9,2.1666666666666665,0,22.1875,29.674999999999997,4,3.075,1,18.58823529411765,26.81764705882353,5.3,4.117647058823529,0,0,0,0,0
14,Belgian Grand Prix,2022,1,17.866666666666664,21.533333333333335,2.9,1.8333333333333333,0,17.92222222222222,21.500000000000004,2.4,1.822222222222222,0,15.41111111111111,20.06666666666667,1.5,1.1444444444444446,0,15.20909090909091,20.68181818181818,1.8,1.2363636363636366,0,21.737500000000004,36.068749999999994,2.5,1.40625,0,0,0,0,0
15,Dutch Grand Prix,2022,0,22.688888888888886,30.633333333333333,1.7,1.3777777777777775,0,26.075,36.4625,1.7,1.0374999999999999,0,23.77777777777778,31.299999999999997,2.2,1.3666666666666667,0,26.866666666666664,39.15555555555555,2.7,1.2555555555555555,0,22.723529411764705,33.358823529411765,1.6,0.9705882352941176,0,0,0,0,0
16,Italian Grand Prix,2022,0,25.944444444444443,36.45555555555555,1.8,0.9999999999999998,0,27.477777777777774,37.46666666666667,2,1,0,25.91111111111111,40.68888888888889,1.7,1.122222222222222,0,27.6375,40.150000000000006,1.6,0.8500000000000001,0,27.666666666666664,43.24,2.2,1.3266666666666667,0,0,0,0,0
17,Singapore Grand Prix,2022,0,29.633333333333333,36.8,1.6,0.8777777777777778,0,29.355555555555554,33.22222222222222,0.8,0.5777777777777778,1,26.04444444444444,28.799999999999997,1.3,0.9111111111111112,0,26.799999999999997,27.7125,1.2,0.5375,1,26.203846153846158,28.857692307692307,1.6,0.8846153846153848,0,0,0,0,0
18,Japanese Grand Prix,2022,1,15.788888888888888,20.077777777777776,2.4,1.2000000000000002,1,15.800000000000002,18.941666666666666,2,1.1749999999999998,0,21.222222222222218,29.788888888888884,4.3,3.3666666666666667,0,19.8625,26.5375,3.9,2.9875000000000003,1,16.75384615384615,19.96923076923077,3.4,2.0615384615384618,0,0,0,0,0
19,United States Grand Prix,2022,0,29.04444444444444,39.25555555555555,3,2.066666666666667,0,29.3,34.74545454545455,4.4,2.4727272727272727,0,29.24444444444445,39.699999999999996,6,4.155555555555555,0,30.1125,36.075,7.4,5.35,0,29.30588235294118,35.55882352941177,7.4,5.2705882352941185,0,0,0,0,0
20,Mexico City Grand Prix,2022,0,25.125,47.199999999999996,2.9,1.6,0,25.88181818181818,31.84545454545454,2.5,1.6,0,21.08888888888889,41.044444444444444,2,1.3444444444444446,0,25.55,48.474999999999994,1.3,1.0125000000000002,0,24.235294117647058,41.94705882,2.9,1.2176470588235293,0,0,0,0,0
21,São Paulo Grand Prix,2022,0,23.566666666666666,47.84444444444445,2.2,1.6888888888888889,0,25.311111111111114,48.522222222222226,2,1.3333333333333333,0,0,0,0,0,1,19.133333333333333,26.644444444444446,2.4,1.0666666666666664,0,23.117647058823525,46.34117647058824,2.7,1.3588235294117645,0,22.72222222222222,36.81111111,2.7,1.7999999999999998
22,Abu Dhabi Grand Prix,2022,0,34.022222222222226,45.7,2.2,1.8111111111111111,0,30.08888888888889,36.03333333333333,2.4,1.5222222222222221,0,30.477777777777778,44.18888889,3.5,2.7222222222222223,0,28.75,35.125,2,1.5375,0,28.61875,34.449999999999996,4,2.71875,0,0,0,0,0
1,Bahrain Grand Prix,2023,0,26.98888888888889,40.56666666666667,3.5,2.7777777777777777,0,22.88888888888889,27.011111111111106,1.6,1.2444444444444445,0,28,40.711111111111116,2.5,1.588888888888889,0,23.9,28.190000000000005,1.2,0.65,0,27.458823529411767,31.041176470588237,1.5,0.6470588235294118,0,0,0,0,0
2,Saudi Arabian Grand Prix,2023,0,26.633333333333336,42.77777777777778,3.7,2.9444444444444446,0,26.200000000000003,31.11111111111111,1.8,1.0111111111111113,0,27.055555555555557,40.21111111111111,5.5,3.566666666666667,0,27.025,31.6875,2.4,1.5,0,26.113333333333337,31.993333333333336,3.5,1.8466666666666671,0,0,0,0,0
3,Australian Grand Prix,2023,0,18.057142857142857,32.25714285714285,2,0.9857142857142857,1,15.944444444444445,23.866666666666667,1.8,1.1111111111111112,1,14.88888888888889,23.422222222222224,2.9,1.666666666666667,1,15.170000000000002,22.639999999999997,2,1.3599999999999999,0,17.443478260869565,29.947826086956525,5,1.2565217391304346,0,0,0,0,0
4,Azerbaijan Grand Prix,2023,0,20.58888888888889,44.32222222222222,1.6,1.0333333333333334,0,0,0,0,0,0,0,0,0,0,0,19.490909090909092,33.418181818181814,1.1,0.6909090909090909,0,24.818749999999998,41.475,1.7,1.13125,0,22.177777777777777,36.93333333333334,1.2,0.6111111111111112
5,Miami Grand Prix,2023,0,29.411111111111115,49.22222222222222,3.7,2.9555555555555557,0,28.08888888888889,38.44444444444444,4.5,3.3222222222222224,0,28.944444444444443,47,4,2.6333333333333333,0,28.644444444444446,43.3,5,3.4111111111111105,0,27.11875,36.7,5.5,3.7125,0,0,0,0,0
6,Monaco Grand Prix,2023,0,26.325,46.387499999999996,1.6,0.8125,0,26.855555555555554,42.97777777777779,1.2,0.7888888888888889,0,27.325000000000003,45.3,1.1,0.65,0,25.544444444444444,46.51111111111111,1.3,0.7666666666666667,1,25.077777777777776,39.35555555555556,1.7,0.9555555555555555,0,0,0,0,0
7,Spanish Grand Prix,2023,0,24.744444444444444,41.48888888888889,1.3,1.0444444444444447,0,23.255555555555553,34.22222222222222,2.4,1.5,1,20.500000000000004,20.077777777777776,2.2,1.3111111111111111,1,20.855555555555558,24.844444444444445,3,1.9444444444444444,0,22.675,33.91875,2.7,1.81875,0,0,0,0,0
8,Canadian Grand Prix,2023,0,21.071428571428573,34.442857142857136,2,1.1428571428571428,0,22.754545454545454,35.163636363636364,3.2,1.2,1,14.7625,17.450000000000003,2.9,2.3625,1,16.477777777777778,18.477777777777778,3.2,2.7333333333333334,0,18.523529411764706,30.629411764705885,2.7,1.8705882352941174,0,0,0,0,0
9,Austrian Grand Prix,2023,0,27.944444444444443,47.15555555555555,2,1.2000000000000002,0,0,0,0,0,0,0,0,0,0,0,26.711111111111116,39.78888888888889,1.2,0.6333333333333333,1,22.375,32.09375,1.6,1.1,1,16.470000000000002,21.24,1.8,0.7699999999999999
10,British Grand Prix,2023,0,23.81111111111111,40.455555555555556,3.7,2.533333333333333,0,26.675,39.2,3.2,2.375,1,21.755555555555553,25.555555555555557,3.7,2.2,1,21.31,22.96,4,2.6599999999999997,0,21.5,31.200000000000003,4.5,3.08125,0,0,0,0,0
11,Hungarian Grand Prix,2023,1,23.113333333333337,29.89333333333333,3,1.62,0,23.11111111111111,32.74444444444444,2.7,1.3888888888888886,0,24.577777777777776,45.43333333333333,3,2.3,0,26.237499999999997,44.087500000000006,3.2,2.45,0,28.81176470588235,48.60588235294117,2.5,1.3647058823529412,0,0,0,0,0
